feature,scope,ticker,horizon,q1_n,q1_mean,q1_hac_t,q5_n,q5_mean,q5_hac_t,q5_minus_q1_mean
delta_imbalance_ratio,per_etf,SMH,5,12,0.011935774756554468,0.769643600804913,11,-0.01078692876663316,-0.8883805282863974,-0.02272270352318763
delta_imbalance_ratio,per_etf,SMH,10,10,-0.01687865972560041,-2.540162887725969,11,-0.012358090093073891,-0.578247407369013,0.004520569632526519
delta_imbalance_ratio,per_etf,SMH,20,8,-0.023283479478456562,-6.177004337298622,9,-0.009190638093381411,-1.083186371326457,0.01409284138507515
delta_imbalance_ratio,per_etf,TLT,1,12,0.0006289307886511719,0.3123113515090541,12,-0.0035388461799454964,-2.1709067179244235,-0.004167776968596668
delta_imbalance_ratio,per_etf,TLT,3,12,-0.0034423160911648174,-1.5117138757397608,12,-8.19094928595776e-05,-0.04164578875232397,0.00336040659830524
delta_imbalance_ratio,per_etf,TLT,5,11,-0.0011566608218662835,-0.2564736259613517,11,-0.0013486974184071015,-0.5970365556740924,-0.00019203659654081807
delta_imbalance_ratio,per_etf,TLT,10,11,-0.0014386301665608623,-0.3202893501264781,9,-0.0050283396051478135,-4.036023185311865,-0.0035897094385869514
delta_imbalance_ratio,per_etf,TLT,20,11,-0.010067927341673288,-3.660166823957104,7,-0.010129997495038115,-8.168302009164652,-6.207015336482692e-05
delta_imbalance_ratio,per_etf,GLD,1,12,0.0024061624915412416,0.5902311732573299,12,0.005231705938383652,1.278791240536512,0.00282554344684241
delta_imbalance_ratio,per_etf,GLD,3,12,-0.0012338970254102781,-0.31774594168934356,12,0.009996905632558941,1.1528125131616995,0.011230802657969219
delta_imbalance_ratio,per_etf,GLD,5,10,-0.0031332466983492457,-0.6416430499173391,12,0.016060686561886594,1.7711463561862228,0.01919393326023584
delta_imbalance_ratio,per_etf,GLD,10,8,0.014596635811199049,1.6053750552577035,11,0.015330189954363133,2.0814157981929324,0.0007335541431640839
delta_imbalance_ratio,per_etf,GLD,20,7,0.041713076604323426,8.485096550289574,9,0.05064908090914425,5.964266130397553,0.008936004304820826
net_dollar_delta,pooled,ALL,1,72,0.0006022286401030579,0.45909920677927124,72,0.0022241780523784265,1.2058225174360784,0.0016219494122753685
net_dollar_delta,pooled,ALL,3,71,-0.00022689572534655047,-0.0741650678319939,70,0.0021776528766185347,0.6483694510145335,0.0024045486019650853
net_dollar_delta,pooled,ALL,5,68,0.0009944653014528316,0.2651133045016644,66,0.0011821189901006694,0.1815565329558315,0.00018765368864783784
net_dollar_delta,pooled,ALL,10,59,-0.0028681996902015197,-0.4608079584910608,64,0.0030764737667457586,0.2900871812047417,0.005944673456947278
net_dollar_delta,pooled,ALL,20,43,0.001075562126965721,0.11435200158483569,51,0.008878740326909369,0.831378460795187,0.007803178199943648
zero_dte_share,pooled,ALL,1,72,-0.0004844902016817125,-0.20308336719639797,72,0.0019589454293423895,1.630172804326266,0.0024434356310241018
zero_dte_share,pooled,ALL,3,72,-0.0025045568676854008,-0.5898347756870148,72,0.001763733434380404,0.5450074020724083,0.004268290302065805
zero_dte_share,pooled,ALL,5,71,-0.0048042201226674965,-0.8200751507538793,71,0.0025809842079883446,0.5324385820722282,0.007385204330655841
zero_dte_share,pooled,ALL,10,68,-0.003735298387104074,-0.39972841306072954,66,0.003831321277370371,0.43701309948560535,0.007566619664474444
zero_dte_share,pooled,ALL,20,60,-0.006798469951677284,-0.4677431139366488,54,0.012685648995482204,1.5638134407546576,0.019484118947159488
put_skew_25d,pooled,ALL,1,70,0.0007141599882966603,0.44126747433166147,70,0.00010046826232960525,0.03768684082953549,-0.0006136917259670551
put_skew_25d,pooled,ALL,3,68,0.0004800746396233366,0.12326261062821987,70,-0.003786143757101986,-0.7039778567508943,-0.004266218396725323
put_skew_25d,pooled,ALL,5,66,-0.00033648370349884864,-0.04808851018267664,70,-0.003509508704401969,-0.4414631221035945,-0.003173025000903121
put_skew_25d,pooled,ALL,10,59,0.004699594413238543,0.33402156109318976,58,-0.01135896972805526,-0.7068424636086273,-0.016058564141293804
put_skew_25d,pooled,ALL,20,42,0.014378853181554383,0.6866556132705767,51,-0.013244698359843186,-0.6007355375038734,-0.02762355154139757
atm_iv,pooled,ALL,1,72,-0.0007351543610181045,-1.0087990562562155,72,0.000984749167565911,0.32572272966799887,0.0017199035285840156
atm_iv,pooled,ALL,3,70,-0.0030787922074023556,-2.0894451747604403,71,-0.0010454335509712585,-0.14461200972206512,0.002033358656431097
atm_iv,pooled,ALL,5,66,-0.005235176228589152,-3.2372522569074667,69,-0.0012744948981759784,-0.12350138087437278,0.003960681330413174
atm_iv,pooled,ALL,10,63,-0.008255625576861205,-3.259853321641913,63,-0.00503585834855814,-0.3122473652385082,0.003219767228303066
atm_iv,pooled,ALL,20,46,-0.013303753209770213,-2.9647916002147485,53,-0.013724600396872844,-0.7359684821693102,-0.0004208471871026305
